"POP","GEONAME","state"
"4887871","Alabama","01"
"737438","Alaska","02"
"7171646","Arizona","04"
"3013825","Arkansas","05"
"39557045","California","06"
"5695564","Colorado","08"
"3572665","Connecticut","09"
"967171","Delaware","10"
"702455","District of Columbia","11"
"21299325","Florida","12"
"10519475","Georgia","13"
"1420491","Hawaii","15"
"1754208","Idaho","16"
"12741080","Illinois","17"
"6691878","Indiana","18"
"3156145","Iowa","19"
"2911505","Kansas","20"
"4468402","Kentucky","21"
"4659978","Louisiana","22"
"1338404","Maine","23"
"6042718","Maryland","24"
"6902149","Massachusetts","25"
"9995915","Michigan","26"
"5611179","Minnesota","27"
"2986530","Mississippi","28"
"6126452","Missouri","29"
"1062305","Montana","30"
"1929268","Nebraska","31"
"3034392","Nevada","32"
"1356458","New Hampshire","33"
"8908520","New Jersey","34"
"2095428","New Mexico","35"
"19542209","New York","36"
"10383620","North Carolina","37"
"760077","North Dakota","38"
"11689442","Ohio","39"
"3943079","Oklahoma","40"
"4190713","Oregon","41"
"12807060","Pennsylvania","42"
"1057315","Rhode Island","44"
"5084127","South Carolina","45"
"882235","South Dakota","46"
"6770010","Tennessee","47"
"28701845","Texas","48"
"3161105","Utah","49"
"626299","Vermont","50"
"8517685","Virginia","51"
"7535591","Washington","53"
"1805832","West Virginia","54"
"5813568","Wisconsin","55"
"577737","Wyoming","56"
"3195153","Puerto Rico","72"
